temperature,ave_magnetization,ave_magnetization^2,susceptibility,ave_energy,ave_energy^2,C_v
280.000000,0.014122,0.000204,-4.451779,-1.508423,2.275391,-50788.839436
445.000000,0.000739,0.000003,-0.007667,-1.559837,2.433126,-34172.635818
375.000000,0.016681,0.000291,-4.637591,-1.519072,2.307764,-38459.651177
180.000000,0.028413,0.000809,-28.031636,-1.466892,2.151800,-74714.271510
245.000000,0.038298,0.001551,-37.415812,-1.464441,2.145032,-54708.878656
400.000000,0.013664,0.000190,-2.917461,-1.523140,2.320010,-36249.321859
210.000000,0.022893,0.000533,-15.597301,-1.501919,2.255811,-67135.724597
485.000000,0.016740,0.000281,-3.611394,-1.515851,2.297815,-29610.884190
255.000000,0.019299,0.000388,-9.128873,-1.518580,2.306248,-56521.699740
395.000000,0.011491,0.000135,-2.089256,-1.534285,2.354073,-37247.317484
330.000000,0.002883,0.000015,-0.157380,-1.552772,2.411209,-45664.776330
360.000000,0.021706,0.000500,-8.179532,-1.496517,2.239697,-38881.316607
105.000000,0.045767,0.002130,-124.679325,-1.450975,2.105359,-125317.185318
410.000000,0.019116,0.000393,-5.570275,-1.505075,2.265550,-34531.265474
345.000000,0.015469,0.000245,-4.335199,-1.516313,2.299236,-41652.272152
465.000000,0.016228,0.000265,-3.539666,-1.521884,2.316139,-31130.798985
295.000000,0.020855,0.000454,-9.214237,-1.511361,2.284272,-48394.325879
470.000000,0.005117,0.000031,-0.348236,-1.548069,2.396584,-31868.597743
420.000000,0.009583,0.000100,-1.366710,-1.535132,2.356761,-35068.907601
260.000000,0.019395,0.000380,-9.042490,-1.487902,2.213907,-53217.630620
110.000000,0.046228,0.002150,-121.422546,-1.449324,2.100567,-119348.842333
480.000000,0.012397,0.000154,-2.001016,-1.517277,2.302133,-29975.634115
300.000000,0.013706,0.000192,-3.913511,-1.519758,2.309677,-48117.990768
165.000000,0.042289,0.001840,-67.741701,-1.455508,2.118584,-80246.362460
320.000000,0.016390,0.000269,-5.246773,-1.507591,2.272839,-44391.210655
290.000000,0.008304,0.000069,-1.486177,-1.534690,2.355282,-50760.199847
230.000000,0.030610,0.001081,-25.461056,-1.490588,2.222324,-60376.454112
150.000000,0.030726,0.000971,-39.335982,-1.479032,2.187688,-91147.332979
455.000000,0.014714,0.000223,-2.973945,-1.514193,2.292895,-31494.247949
350.000000,0.012397,0.000154,-2.744250,-1.522727,2.318698,-41405.321002
355.000000,0.008264,0.000068,-1.202488,-1.537864,2.365026,-41637.749747
205.000000,0.024998,0.000660,-19.052355,-1.474580,2.174598,-66292.265730
305.000000,0.013610,0.000202,-3.795693,-1.526653,2.330865,-47759.604128
220.000000,0.020661,0.000427,-12.127368,-1.497888,2.243673,-63740.607642
385.000000,0.014630,0.000218,-3.474507,-1.514912,2.295009,-37255.790560
450.000000,0.016907,0.000325,-3.970297,-1.513397,2.290775,-31810.683160
135.000000,0.037716,0.001496,-65.855277,-1.468957,2.158103,-99899.740527
175.000000,0.027175,0.000754,-26.374705,-1.487652,2.213242,-79039.582704
140.000000,0.028529,0.000815,-36.334798,-1.480764,2.192682,-97886.743013
130.000000,0.024013,0.000579,-27.722827,-1.496422,2.239327,-107657.662678
490.000000,0.012102,0.000148,-1.868240,-1.527595,2.333551,-29764.620369
125.000000,0.038509,0.001515,-74.147492,-1.457624,2.124896,-106233.364451
430.000000,0.013681,0.000191,-2.720487,-1.517893,2.304087,-33488.371657
415.000000,0.011053,0.000136,-1.839856,-1.531326,2.345029,-35315.667317
365.000000,0.014888,0.000261,-3.795217,-1.515535,2.297232,-39329.539245
405.000000,0.017681,0.000316,-4.824343,-1.507753,2.273334,-35082.074403
340.000000,0.017028,0.000304,-5.330076,-1.513250,2.290014,-42094.190174
270.000000,0.020661,0.000427,-9.881559,-1.513250,2.289925,-53007.498738
275.000000,0.000000,0.000000,0.000000,-1.560998,2.436721,-55379.837946
425.000000,0.004132,0.000017,-0.251108,-1.546740,2.392406,-35182.400326
440.000000,0.004137,0.000017,-0.243130,-1.550932,2.405395,-34167.477295
390.000000,0.012397,0.000154,-2.462789,-1.516011,2.298293,-36831.541788
200.000000,0.022848,0.000535,-16.313375,-1.496720,2.240200,-70005.309537
235.000000,0.001177,0.000005,-0.036835,-1.551517,2.407276,-64021.360488
145.000000,0.033309,0.001174,-47.823075,-1.475029,2.175873,-93780.602727
500.000000,0.014648,0.000219,-2.682024,-1.513907,2.291954,-28648.942052
315.000000,0.010998,0.000125,-2.400072,-1.535088,2.356523,-46755.875201
240.000000,0.033321,0.001177,-28.913184,-1.479588,2.189566,-57009.936748
155.000000,0.031717,0.001033,-40.564132,-1.486198,2.208862,-89063.918287
285.000000,0.020079,0.000414,-8.841662,-1.493223,2.229783,-48897.258565
195.000000,0.012466,0.000156,-4.980898,-1.516288,2.299134,-73690.071613
190.000000,0.029899,0.000897,-29.406593,-1.478108,2.184890,-71868.542496
495.000000,0.012364,0.000166,-1.930044,-1.530479,2.342408,-29575.336261
120.000000,0.022774,0.000532,-27.012222,-1.481230,2.194205,-114272.980590
335.000000,0.006504,0.000052,-0.789249,-1.543927,2.383805,-44472.220934
380.000000,0.008902,0.000084,215.000000,-1.303522,-1.535490,2.357779
-38778.444353,0.021203,0.000487,-13.069189,-1.491179,2.223956,-64639.912791
160.000000,0.020777,0.000458,-16.862415,-1.499466,2.248646,-87828.057514
310.000000,0.031782,0.001044,-20.364593,-1.478443,2.185870,-44068.412927
460.000000,0.018488,0.000352,-4.643905,-1.511734,2.285414,-31050.801240
100.000000,0.039540,0.001577,-97.715660,-1.466294,2.150114,-134376.148785
185.000000,0.036046,0.001308,-43.896424,-1.454201,2.114811,-71442.557610
435.000000,0.012421,0.000154,-2.216858,-1.523664,2.321556,-33355.646893
370.000000,0.014851,0.000228,-3.725664,-1.512940,2.289094,-38665.305356
225.000000,0.007772,0.000062,-1.677845,-1.537929,2.365229,-65700.694495
265.000000,0.012106,0.000148,-3.456368,-1.515260,2.296052,-54151.202771
115.000000,0.032919,0.001094,-58.894616,-1.472528,2.168428,-117844.492169
325.000000,0.011704,0.000142,-2.634359,-1.530117,2.341320,-45024.206665
170.000000,0.021701,0.000480,-17.313448,-1.495654,2.237008,-82241.900341
250.000000,0.007524,0.000059,-1.415252,-1.534259,2.353989,-58848.732835
475.000000,0.012397,0.000154,-2.022079,-1.520661,2.312410,-30426.447164
